County,City,State,Postal.Code,Model.Year,Make,Model,Electric.Vehicle.Type,Electric.Range
Kitsap,Seabeck,WA,98380,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42
Kitsap,Bremerton,WA,98312,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151
King,Seattle,WA,98101,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266
King,Seattle,WA,98125,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Thurston,Yelm,WA,98597,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
Snohomish,Lynnwood,WA,98036,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
Kitsap,Poulsbo,WA,98370,2022,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV),31
Snohomish,Arlington,WA,98223,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),0
King,Kent,WA,98031,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
King,Kirkland,WA,98034,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Kitsap,Bremerton,WA,98337,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
Thurston,Tumwater,WA,98501,2013,FORD,FOCUS,Battery Electric Vehicle (BEV),76
Yakima,Yakima,WA,98908,2016,KIA,SOUL,Battery Electric Vehicle (BEV),93
Thurston,Centralia,WA,98531,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53
King,Seattle,WA,98117,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16
Snohomish,Lynnwood,WA,98087,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
Thurston,Olympia,WA,98512,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),32
King,Kirkland,WA,98034,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249
King,Issaquah,WA,98027,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
King,Duvall,WA,98019,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Thurston,Olympia,WA,98506,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),35
King,Seattle,WA,98102,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),97
Snohomish,Lake Stevens,WA,98258,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239
Yakima,Yakima,WA,98902,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Thurston,Olympia,WA,98501,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Yakima,Selah,WA,98942,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),83
Yakima,Zillah,WA,98953,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Snohomish,Bothell,WA,98021,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151
Kitsap,Kingston,WA,98346,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107
Kitsap,Poulsbo,WA,98370,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),34
Kitsap,Bremerton,WA,98312,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),17
Thurston,Olympia,WA,98502,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266
Kitsap,Bremerton,WA,98311,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
King,Seattle,WA,98122,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
Snohomish,Bothell,WA,98021,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
Thurston,Olympia,WA,98501,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239
Snohomish,Bothell,WA,98012,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238
King,Seattle,WA,98103,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
Kitsap,Port Orchard,WA,98367,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
King,Seattle,WA,98199,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),40
Yakima,Yakima,WA,98902,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25
Thurston,Tumwater,WA,98512,2022,KIA,EV6,Battery Electric Vehicle (BEV),0
Kitsap,Port Orchard,WA,98366,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
Thurston,Lacey,WA,98503,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),22
Thurston,Olympia,WA,98501,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
Thurston,Olympia,WA,98501,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25
King,Seattle,WA,98144,2020,KIA,NIRO,Battery Electric Vehicle (BEV),239
Thurston,Tumwater,WA,98501,2024,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),0
Kitsap,Hansville,WA,98340,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
King,Redmond,WA,98052,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Kitsap,Poulsbo,WA,98370,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),13
Kitsap,Poulsbo,WA,98370,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98008,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73
King,Seattle,WA,98133,2015,FIAT,500,Battery Electric Vehicle (BEV),87
King,Seattle,WA,98119,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266
Thurston,Olympia,WA,98501,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151
Kitsap,Bremerton,WA,98310,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107
King,Seattle,WA,98117,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Kitsap,Port Orchard,WA,98366,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259
Thurston,Olympia,WA,98501,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210
King,Seattle,WA,98115,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73
Kitsap,Poulsbo,WA,98370,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
Snohomish,Everett,WA,98208,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Island,Oak Harbor,WA,98277,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
Kitsap,Bainbridge Island,WA,98110,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249
King,Seattle,WA,98136,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151
Thurston,Olympia,WA,98512,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),26
Thurston,Olympia,WA,98512,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Thurston,Olympia,WA,98502,2023,KIA,NIRO,Battery Electric Vehicle (BEV),0
Thurston,Olympia,WA,98501,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210
Thurston,Olympia,WA,98502,2024,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),32
Snohomish,Bothell,WA,98012,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
King,Seattle,WA,98112,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30
Kitsap,Poulsbo,WA,98370,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107
Kitsap,Poulsbo,WA,98370,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
Snohomish,Mountlake Terrace,WA,98043,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322
Snohomish,Bothell,WA,98021,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210
Snohomish,Mukilteo,WA,98275,2024,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),38
Thurston,Olympia,WA,98502,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),200
Kitsap,Bremerton,WA,98311,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151
King,Seattle,WA,98107,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
Thurston,Olympia,WA,98512,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239
Thurston,Lacey,WA,98516,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322
King,Kirkland,WA,98034,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210
King,Redmond,WA,98052,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Snohomish,Bothell,WA,98021,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),293
King,Seattle,WA,98117,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Snohomish,Everett,WA,98208,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150
Skagit,Anacortes,WA,98221,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),126
Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Yakima,Zillah,WA,98953,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
King,Seattle,WA,98119,2014,BMW,I3,Battery Electric Vehicle (BEV),81
Thurston,Tumwater,WA,98512,2023,KIA,EV6,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98102,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),110
Thurston,Tumwater,WA,98512,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150
Spokane,Spokane,WA,99201,2019,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),17
King,Seattle,WA,98108,2018,BMW,I3,Battery Electric Vehicle (BEV),114
Snohomish,Snohomish,WA,98290,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
Thurston,Lacey,WA,98516,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210
Snohomish,Bothell,WA,98012,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151
Kitsap,Kingston,WA,98346,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
Snohomish,Lynnwood,WA,98087,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266
Snohomish,Snohomish,WA,98290,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322
Snohomish,Bothell,WA,98012,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19
Thurston,Olympia,WA,98502,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
Snohomish,Mukilteo,WA,98275,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210
Yakima,Yakima,WA,98902,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),200
Yakima,Moxee,WA,98936,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42
King,Seattle,WA,98105,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26
Snohomish,Everett,WA,98204,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
Snohomish,Edmonds,WA,98020,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
Snohomish,Snohomish,WA,98296,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150
Snohomish,Everett,WA,98208,2020,KIA,NIRO,Battery Electric Vehicle (BEV),239
Snohomish,Everett,WA,98208,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
Clallam,Sequim,WA,98382,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Yakima,Wapato,WA,98951,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
Yakima,Yakima,WA,98903,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322
Kitsap,Port Orchard,WA,98366,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
Snohomish,Snohomish,WA,98290,2023,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),21
Yakima,Yakima,WA,98903,2024,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),48
Chelan,Manson,WA,98831,2025,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),32
Snohomish,Lynnwood,WA,98036,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210
Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Snohomish,Bothell,WA,98021,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Skagit,Mount Vernon,WA,98273,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19
Skagit,Anacortes,WA,98221,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Walla Walla,College Place,WA,99324,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
Snohomish,Bothell,WA,98021,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
King,Seattle,WA,98144,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),203
Yakima,Moxee,WA,98936,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),0
Yakima,Yakima,WA,98903,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42
Snohomish,Snohomish,WA,98296,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),293
Chelan,Leavenworth,WA,98826,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
Kittitas,Ellensburg,WA,98926,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
Snohomish,Brier,WA,98036,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Snohomish,Lynnwood,WA,98037,2020,BMW,I3,Battery Electric Vehicle (BEV),153
Whitman,Pullman,WA,99163,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0
Thurston,Olympia,WA,98512,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53
Yakima,Yakima,WA,98908,2022,AUDI,Q4,Battery Electric Vehicle (BEV),0
Skagit,Anacortes,WA,98221,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
King,Seattle,WA,98107,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322
Snohomish,Lake Stevens,WA,98258,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30
Kitsap,Bremerton,WA,98312,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Kitsap,Poulsbo,WA,98370,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),308
Skagit,La Conner,WA,98257,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239
Snohomish,Edmonds,WA,98026,2024,KIA,EV6,Battery Electric Vehicle (BEV),0
Stevens,Kettle Falls,WA,99141,2023,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV),30
Snohomish,Bothell,WA,98021,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
Snohomish,Snohomish,WA,98296,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266
Skagit,Anacortes,WA,98221,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
Snohomish,Edmonds,WA,98026,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),32
Chelan,Leavenworth,WA,98826,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150
Spokane,Spokane,WA,99201,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Snohomish,Everett,WA,98201,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),72
Snohomish,Snohomish,WA,98290,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Snohomish,Everett,WA,98208,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322
Yakima,Yakima,WA,98901,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),40
Skagit,La Conner,WA,98257,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Snohomish,Snohomish,WA,98296,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),38
Snohomish,Snohomish,WA,98290,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
Island,Langley,WA,98260,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Kitsap,Silverdale,WA,98383,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
King,Renton,WA,98055,2020,KIA,NIRO,Battery Electric Vehicle (BEV),239
Snohomish,Edmonds,WA,98026,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151
Thurston,Olympia,WA,98516,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
Snohomish,Bothell,WA,98012,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Snohomish,Lynnwood,WA,98087,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
Whitman,Pullman,WA,99163,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150
Snohomish,Everett,WA,98203,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),34
Snohomish,Snohomish,WA,98290,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73
Snohomish,Lynnwood,WA,98087,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Snohomish,Edmonds,WA,98020,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26
Snohomish,Edmonds,WA,98020,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),308
Snohomish,Lynnwood,WA,98037,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),73
Thurston,Olympia,WA,98501,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266
Spokane,Spokane,WA,99203,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),234
Spokane,Spokane,WA,99202,2013,FIAT,500,Battery Electric Vehicle (BEV),87
Snohomish,Bothell,WA,98012,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
Snohomish,Bothell,WA,98012,2020,KIA,NIRO,Battery Electric Vehicle (BEV),239
Skagit,Anacortes,WA,98221,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),19
Spokane,Spokane,WA,99201,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),14
Kitsap,Bainbridge Island,WA,98110,2024,LEXUS,RX,Plug-in Hybrid Electric Vehicle (PHEV),37
Whitman,Pullman,WA,99163,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
Kitsap,Keyport,WA,98345,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
Snohomish,Bothell,WA,98012,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Skagit,Anacortes,WA,98221,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),25
Chelan,Wenatchee,WA,98801,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Snohomish,Bothell,WA,98012,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Snohomish,Lynnwood,WA,98037,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30
Kitsap,Silverdale,WA,98315,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
Kitsap,Port Orchard,WA,98367,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
Snohomish,Snohomish,WA,98296,2021,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),21
Whitman,Pullman,WA,99163,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
Kitsap,Poulsbo,WA,98370,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),34
Grant,Ephrata,WA,98823,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),20
Kitsap,Kingston,WA,98346,2012,FORD,FOCUS,Battery Electric Vehicle (BEV),76
Snohomish,Monroe,WA,98272,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Snohomish,Lynnwood,WA,98037,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239
Thurston,Olympia,WA,98501,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
Chelan,Wenatchee,WA,98801,2022,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),28
Snohomish,Brier,WA,98036,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150
Snohomish,Lake Stevens,WA,98258,2023,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),32
Skagit,Mount Vernon,WA,98274,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210
Snohomish,Bothell,WA,98072,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Douglas,Orondo,WA,98843,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),39
Yakima,Selah,WA,98942,2022,FORD,F-150,Battery Electric Vehicle (BEV),0
Chelan,Leavenworth,WA,98826,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
King,Kirkland,WA,98033,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
Thurston,Olympia,WA,98506,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Renton,WA,98055,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Sammamish,WA,98075,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98034,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238
King,Sammamish,WA,98074,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),0
King,Redmond,WA,98052,2023,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),37
King,Duvall,WA,98019,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322
King,Redmond,WA,98052,2020,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),18
King,Pacific,WA,98047,2024,FORD,F-150,Battery Electric Vehicle (BEV),0
King,Seatac,WA,98188,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32
King,Bellevue,WA,98007,2023,FORD,F-150,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98125,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Newcastle,WA,98059,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),308
King,Bellevue,WA,98008,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),47
Clark,La Center,WA,98629,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0
Kitsap,Bremerton,WA,98312,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98177,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238
King,Bellevue,WA,98005,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
Thurston,Olympia,WA,98502,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),0
Snohomish,Snohomish,WA,98296,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Seattle,WA,98146,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),0
King,Bothell,WA,98011,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Auburn,WA,98002,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
King,Seattle,WA,98112,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238
King,Bellevue,WA,98008,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Renton,WA,98058,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98682,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98101,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),14
King,Sammamish,WA,98074,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98664,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98177,2023,KIA,EV6,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
Kitsap,Silverdale,WA,98383,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),32
King,Bellevue,WA,98008,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
King,Seattle,WA,98108,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73
King,Redmond,WA,98052,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Kitsap,Kingston,WA,98346,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),0
Kitsap,Bainbridge Island,WA,98110,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2024,GENESIS,GV70,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16
Kitsap,Port Orchard,WA,98367,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98006,2023,BMW,IX,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98033,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Kitsap,Kingston,WA,98346,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98122,2023,VOLVO,XC40,Battery Electric Vehicle (BEV),0
King,Lake Forest Park,WA,98155,2021,KIA,NIRO,Battery Electric Vehicle (BEV),0
Clark,Vancouver,WA,98682,2024,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98005,2022,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),0
King,Des Moines,WA,98198,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Seattle,WA,98112,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),234
Cowlitz,Longview,WA,98632,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21
King,Bellevue,WA,98006,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Clark,Vancouver,WA,98664,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),258
King,Bellevue,WA,98006,2023,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98034,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
Snohomish,Mukilteo,WA,98275,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Kirkland,WA,98034,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Kent,WA,98031,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Federal Way,WA,98023,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98007,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322
Clark,Vancouver,WA,98685,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),38
Clark,Vancouver,WA,98684,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),234
Clark,Vancouver,WA,98686,2022,POLESTAR,PS2,Battery Electric Vehicle (BEV),0
King,Kent,WA,98042,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0
King,Normandy Park,WA,98166,2024,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),33
